,exp,x,Q2,epsilon,W2,value,full_u,obs,target,curent,lepton beam,units
0,e99118,0.009,0.034,0.364,4.62362177777778,0.0492,0.0088,f2,d,e,NC,1
1,e99118,0.009,0.051,0.25,6.49551066666667,0.058,0.0164,f2,d,e,NC,1
2,e99118,0.009,0.086,0.157,10.3493995555556,0.0896,0.0305,f2,d,e,NC,1
3,e99118,0.015,0.059,0.361,4.75417733333333,0.0669,0.0102,f2,d,e,NC,1
4,e99118,0.015,0.095,0.345,7.11817733333333,0.0831,0.0125,f2,d,e,NC,1
5,e99118,0.015,0.098,0.178,7.31517733333333,0.0935,0.0278,f2,d,e,NC,1
6,e99118,0.015,0.112,0.202,8.23451066666667,0.0966,0.0245,f2,d,e,NC,1
7,e99118,0.015,0.127,0.229,9.21951066666667,0.1073,0.0221,f2,d,e,NC,1
8,e99118,0.015,0.144,0.259,10.335844,0.1129,0.0199,f2,d,e,NC,1
9,e99118,0.015,0.151,0.144,10.7955106666667,0.1186,0.0368,f2,d,e,NC,1
10,e99118,0.015,0.164,0.293,11.6491773333333,0.1227,0.0186,f2,d,e,NC,1
11,e99118,0.015,0.172,0.163,12.1745106666667,0.1286,0.0327,f2,d,e,NC,1
12,e99118,0.025,0.067,0.537,3.492844,0.0834,0.0081,f2,d,e,NC,1
13,e99118,0.025,0.092,0.357,4.467844,0.0953,0.0126,f2,d,e,NC,1
14,e99118,0.025,0.104,0.485,4.935844,0.0994,0.0101,f2,d,e,NC,1
15,e99118,0.025,0.113,0.247,5.286844,0.1024,0.0189,f2,d,e,NC,1
16,e99118,0.025,0.14,0.483,6.339844,0.1208,0.0111,f2,d,e,NC,1
17,e99118,0.025,0.186,0.331,8.133844,0.1441,0.0187,f2,d,e,NC,1
18,e99118,0.025,0.195,0.185,8.484844,0.1439,0.0307,f2,d,e,NC,1
19,e99118,0.025,0.212,0.372,9.147844,0.1545,0.0169,f2,d,e,NC,1
20,e99118,0.025,0.222,0.21,9.537844,0.1568,0.0281,f2,d,e,NC,1
21,e99118,0.025,0.24,0.418,10.239844,0.1656,0.0156,f2,d,e,NC,1
22,e99118,0.025,0.252,0.237,10.707844,0.1745,0.0262,f2,d,e,NC,1
23,e99118,0.025,0.253,0.147,10.746844,0.1601,0.0405,f2,d,e,NC,1
24,e99118,0.025,0.287,0.167,12.072844,0.1814,0.0382,f2,d,e,NC,1
25,e99118,0.04,0.133,0.352,4.071844,0.128,0.0152,f2,d,e,NC,1
26,e99118,0.04,0.273,0.469,7.431844,0.1876,0.0146,f2,d,e,NC,1
27,e99118,0.04,0.287,0.269,7.767844,0.2002,0.0255,f2,d,e,NC,1
28,e99118,0.04,0.353,0.581,9.351844,0.2077,0.0111,f2,d,e,NC,1
29,e99118,0.04,0.37,0.342,9.759844,0.2139,0.0202,f2,d,e,NC,1
30,e99118,0.04,0.371,0.214,9.783844,0.2155,0.0304,f2,d,e,NC,1
31,e99118,0.04,0.38,0.148,9.999844,0.2231,0.0422,f2,d,e,NC,1
32,e99118,0.04,0.421,0.385,10.983844,0.2268,0.0178,f2,d,e,NC,1
33,e99118,0.06,0.18,0.346,3.699844,0.1616,0.0173,f2,d,e,NC,1
34,e99118,0.06,0.479,0.273,8.38417733333334,0.2563,0.0253,f2,d,e,NC,1
35,e99118,0.06,0.491,0.19,8.57217733333333,0.2702,0.0355,f2,d,e,NC,1
36,e99118,0.06,0.543,0.483,9.386844,0.2609,0.0145,f2,d,e,NC,1
37,e99118,0.06,0.633,0.243,10.796844,0.2958,0.0263,f2,d,e,NC,1
38,e99118,0.08,0.456,0.704,6.123844,0.2451,0.0086,f2,d,e,NC,1
39,e99118,0.08,0.617,0.538,7.975344,0.2752,0.0127,f2,d,e,NC,1
40,e99118,0.08,0.619,0.348,7.998344,0.2767,0.0194,f2,d,e,NC,1
41,e99118,0.08,0.799,0.438,10.068344,0.295,0.0143,f2,d,e,NC,1
42,e99118,0.08,0.818,0.31,10.286844,0.3122,0.0195,f2,d,e,NC,1
43,e99118,0.125,0.588,0.825,4.995844,0.2609,0.0061,f2,d,e,NC,1
44,e99118,0.125,0.797,0.657,6.458844,0.2873,0.009,f2,d,e,NC,1
45,e99118,0.125,1.032,0.544,8.103844,0.2952,0.0097,f2,d,e,NC,1
46,e99118,0.125,1.056,0.391,8.271844,0.3228,0.0144,f2,d,e,NC,1
47,e99118,0.175,1.029,0.778,5.730844,0.2846,0.0053,f2,d,e,NC,1
48,e99118,0.175,1.045,0.294,5.80627257142857,0.2939,0.0141,f2,d,e,NC,1
49,e99118,0.175,1.365,0.488,7.314844,0.3072,0.0107,f2,d,e,NC,1
50,e99118,0.25,1.332,0.661,4.875844,0.2673,0.0065,f2,d,e,NC,1
51,e99118,0.25,1.761,0.599,6.162844,0.2744,0.0071,f2,d,e,NC,1
52,e99118,0.45,2.275,0.715,3.66039955555556,0.1638,0.0036,f2,d,e,NC,1
